userid,label
1513709269,Anti-Science
1516820334,Anti-Science
15199002,Anti-Science
1523544720,Anti-Science
15274479,Pro-Science
152857334,Pro-Science
1529217488,Anti-Science
15295344,Anti-Science
15317884,Pro-Science
15381530,Pro-Science
154247929,Pro-Science
154302477,Anti-Science
154872146,Anti-Science
1548855930,Anti-Science
1549644366,Anti-Science
155487875,Anti-Science
15569217,Anti-Science
15574692,Pro-Science
15580073,Pro-Science
1559640672,Anti-Science
15650907,Pro-Science
1578256915,Pro-Science
1580590356,Anti-Science
1581665821,Anti-Science
1584401948,Pro-Science
158619545,Anti-Science
1590903859,Anti-Science
1594141262,Anti-Science
1594675105,Anti-Science
159605515,Pro-Science
1596313735,Pro-Science
159823461,Anti-Science
1598961482,Pro-Science
15990055,Pro-Science
1602639925,Anti-Science
1611213740,Pro-Science
16120268,Anti-Science
16123136,Pro-Science
162156084,Pro-Science
162668244,Anti-Science
16272552,Anti-Science
1627852759,Anti-Science
16309435,Pro-Science
163632498,Pro-Science
163712117,Anti-Science
1643635238,Pro-Science
16439454,Pro-Science
164622641,Anti-Science
164709956,Pro-Science
164725030,Pro-Science
164921946,Anti-Science
164940016,Anti-Science
1654404968,Anti-Science
1666999050,Anti-Science
166772112,Pro-Science
166834143,Pro-Science
16685862,Pro-Science
1673762090,Anti-Science
16753310,Anti-Science
16861582,Pro-Science
168637556,Anti-Science
1688278710,Pro-Science
1688743580,Anti-Science
1691408946,Anti-Science
169167020,Pro-Science
169524479,Anti-Science
17011053,Pro-Science
17023793,Anti-Science
17119552,Pro-Science
171359889,Pro-Science
1713726582,Anti-Science
17177467,Pro-Science
1720632938,Anti-Science
172182125,Anti-Science
172807045,Pro-Science
17418562,Anti-Science
1766,Pro-Science
17685574,Pro-Science
17688854,Pro-Science
17782468,Pro-Science
178011979,Anti-Science
179231730,Pro-Science
17955327,Anti-Science
18001294,Anti-Science
18044100,Pro-Science
18084368,Pro-Science
18131378,Pro-Science
181371148,Anti-Science
182213283,Pro-Science
18243385,Pro-Science
18300656,Pro-Science
184889780,Pro-Science
1853188872,Pro-Science
18582812,Pro-Science
18606522,Anti-Science
18679867,Pro-Science
186909366,Pro-Science
1869566340,Anti-Science
18741672,Anti-Science
1877417377,Anti-Science
1878225253,Anti-Science
18831495,Anti-Science
18861932,Pro-Science
1891372724,Anti-Science
189342473,Pro-Science
19005131,Anti-Science
1902787015,Pro-Science
19048677,Anti-Science
19096174,Anti-Science
191030575,Anti-Science
1915475594,Anti-Science
191986727,Anti-Science
19199518,Anti-Science
19209912,Pro-Science
1921401132,Anti-Science
19277446,Anti-Science
19321938,Pro-Science
1932392948,Anti-Science
19399526,Anti-Science
1944865430,Anti-Science
194879900,Anti-Science
1949657214,Pro-Science
1950168642,Pro-Science
195017336,Pro-Science
1950394422,Anti-Science
1957810801,Anti-Science
195818014,Pro-Science
1961356862,Anti-Science
196614810,Pro-Science
1967350976,Anti-Science
196960325,Anti-Science
