tweetid,screen_name,date,lang,text,state,friends_count,followers_count
1294333680450764802,BusyDrT,Fri Aug 14 18:02:51 +0000 2020,en,China says frozen chicken wings from Brazil test positive for coronavirus https://t.co/izqfU0pCgt via @business,OH,183,59546
1294335930883596290,BusyDrT,Fri Aug 14 18:11:48 +0000 2020,en,Virginia leading the way..... Imagine what our #foundingfathers would say. Governor announces new phone app to trace COVID https://t.co/xp5sFIlqgq  #covidwise #ContactTracing,OH,183,59547
1294414459616628738,BusyDrT,Fri Aug 14 23:23:50 +0000 2020,en,How long till #MaskMandates are used as a defense for committing crimes? - 3 arrested in attack of Chili's hostess who was enforcing coronavirus dining rules  https://t.co/7ZHq19mNeF,OH,183,59588
1294415923785265152,micharu333,Fri Aug 14 23:29:39 +0000 2020,en,LifePetitions - Petitions for a Culture of Life https://t.co/k2pWD8Rbh2,,88,138
1294538537816199169,Truth_Seeker71,Sat Aug 15 07:36:53 +0000 2020,en,Is there a politician ‘with the spine to tell the truth’ on COVID-19: Alan Jones | Sky News Australia https://t.co/JnNSX9Ulmv,,123,39
1294564518438350850,MsAnuJohanna,Sat Aug 15 09:20:07 +0000 2020,en,"Brilliant. “The government has pretty much admitted they made everything up” Graham French, IT Solutions Consultant, Newcastle, 13th August 2020 https://t.co/FHLJljnzsj via @BreesAnna #coronavirus #TruthMatters",,8265,9645
1294620274697089025,mercola,Sat Aug 15 13:01:41 +0000 2020,en,Find out if you’re at risk of COVID and discover the best natural strategies to safeguard your health during this pandemic. Click the link below and download my report now. #StopCOVIDCold     Click here 👉 https://t.co/aqiOKad4lA https://t.co/8GFxnMsaQd,FL,29979,289157
1294765823177916418,mercola,Sat Aug 15 22:40:02 +0000 2020,en,"Some people struggle to wear a mask, and young children have difficulty coping with them. These suggestions help improve communication and reduce anxiety.   ⚠️ Twitter has CENSORED my website! ✅ Visit 𝐌𝐞𝐫𝐜𝐨𝐥𝐚.𝐜𝐨𝐦 to read this and more news articles. https://t.co/4YWqZPr7Zt",FL,29979,289158
1294908845702160384,MsAnuJohanna,Sun Aug 16 08:08:21 +0000 2020,en,Just like I’ve said for months. NHS is dead. Still clapping? Public Health England 'set to be scrapped over Covid-19 response' https://t.co/LQdaxlnJ9Q #SundayMorning #COVID19,,8267,9646
1294982606547755009,mercola,Sun Aug 16 13:01:27 +0000 2020,en,"Knowing your risk for COVID can help you better prepare your immune health against it. Take this quiz to check your risk, then download my report for stealth strategies that can protect you and your loved ones during this pandemic.  👉 https://t.co/DqYPVKRrFZ  #StopCOVIDCold https://t.co/cdxKCwAB1x",FL,29979,289146
